fineli_id	group_name	default	specific_tags	display_name	extra_tags	piece_weight	density_constant	example_brands	scientific_name	processing	classification	edible_portion	special_diets
33179	Kvarg		naturell, 0,3% fett, laktosfri	Kvarg (laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, FATFREE, LACOVEGE, EGGFREE, VITAMADD
34592	Kvarg		naturell, 2,3% fett, låg laktoshalt	Kvarg (låg laktos)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
32002	Kvarg		smaksatt, 2,9% fett	Kvarg (smaksatt)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
33147	Kvarg		smaksatt, 2,9% fett, danonino, 1,25 ug vitamin d	Kvarg (smaksatt)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE, VITAMADD
34600	Kvarg		smaksatt, 4,5% fett	Kvarg (smaksatt)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
34654	Kvarg		smaksatt, 4% fett	Kvarg (smaksatt)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
30673	Kvarg		smaksatt, 5% fett	Kvarg (smaksatt)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, SALTFREE, GLUTFREE, EGGFREE
34595	Kvarg		smaksatt, 7% fett, låg laktoshalt	Kvarg (smaksatt, låg laktos)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
33189	Kvarg		smaksatt, fett 7%, söt, laktosfri	Kvarg (smaksatt, laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, LACSFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
34655	Kvarg		smaksatt, fettfri, protein kvarg, låg laktoshalt	Kvarg (smaksatt, låg laktos)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, SALTFREE, LACVEGE, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
31956	Kvarg		smaksatt, fettfri, syntetiskt sötad	Kvarg (smaksatt, laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, SALTFREE, GLUTFREE, EGGFREE
34649	Kvarg		smaksatt, fettfri, syntetiskt sötad, laktosfri	Kvarg (smaksatt, laktosfri)			1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, NAGLUFRE, LACSFREE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, LACOVEGE, FATFREE, LOWLACS, EGGFREE
34591	Kvarggrädde	TRUE	Gräddkvarg, 7% fett	Kvarggrädde	kvarggrädde, kvarg grädde		1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACVEGE, GLUTFREE, LACOVEGE, EGGFREE
34590	Kvargyoghurt	TRUE	kvargyoghurt, naturell, 0,9% fett	Kvargyoghurt	yoghurtkvarg		1			Industriellt	Syrade mjölkprodukter	100 %	SOYAFREE, UNSWEET, NAGLUFRE, SALTFREE, LACVEGE, LOWFAT, GLUTFREE, LACOVEGE, LOWLACS, EGGFREE
11150	Kyckling		marinerad, utan skinn, rå	Kyckling						Blandat	Fåglar	100 %	UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, LOWFAT, GLUTFREE, EGGFREE
754	Kyckling	TRUE	strimlad	Kyckling	kycklingar, kycklingstrimlor, kycklingkött					Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
751	Kyckling		hel, med skinn, rå	Kyckling		1500				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
11563	Kycklingben		med skinn, rå	Kycklingben		130				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, GLUTFREE, EGGFREE
34180	Kycklingben	TRUE	med skinn, rå	Kycklingben	kyckling ben	145				Obehandlat	Fåglar	100 %	NAGLUFRE, LACSFREE, MILKFREE, GLUTFREE, EGGFREE
11565	Kycklingbröst	TRUE	utan skinn, strimlor, schnitzel	Kycklingbröst (filé)	kycklingfile, kycklingfiléer, kycklingfileer, kycklingbröstfiléer, kycklingbröstfileer	190				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
11564	Kycklingbröst		med skinn	Kycklingbröst (filé)		210				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
28930	Kycklingfärs	TRUE	köttfärs, kycklingfärs	Kycklingfärs	hönsfärs					Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, MILKFREE, LACSFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
30792	Kycklinglår	TRUE	utan skinn	Kycklinglår	kycklinglårfilé, kycklinglårfiléer, kycklinglårfileer	140				Obehandlat	Fåglar	100 %	SOYAFREE, UNSWEET, NAGLUFRE, LACSFREE, MILKFREE, SALTFREE, LOWFAT, GLUTFREE, EGGFREE
