id	name	energi, beräknad (kJ)	kolhydrater, digererbara (g)	fett, totalt (g)	protein, totalt (g)	alkohol (g)	fiber, totalt (g)	organiska syror, totalt (g)	sockeralkoholer (g)	stärkelse, totalt (g)	sockerarter, totalt (g)	fruktos (g)	galaktos (g)	glukos (g)	laktos (g)	maltos (g)	sackaros (g)	polysackarider, icke-cellulosa, lösliga (g)	fiber, olöslig (g)	fettsyror, totalt (g)	fettsyror, fleromättade (g)	fettsyror, enkelomättade cis (g)	fettsyror, mättade (g)	fettsyror, trans (g)	fettsyror, n-3 fleromättade (g)	fettsyror, n-6 fleromättade (g)	fettsyra 18:2 cis,cis n-6 (linolsyra) (mg)	fettsyra 18:3 n-3 (alfa-linolensyra) (mg)	fettsyra 20:5 n-3 (EPA) (mg)	fettsyra 22:6 n-3 (DHA) (mg)	kolesterol (GC) (mg)	steroler, totalt (mg)	kalcium (mg)	järn (mg)	jodid (jod) (µg)	kalium (mg)	magnesium (mg)	natrium (mg)	salt (mg)	fosfor (mg)	selen (µg)	zink (mg)	tryptofan (mg)	folat, total (µg)	niacinekvivalenter (mg)	niacin (nikotinsyra+nikotinamid) (mg)	pyridoxin vitamerer (hydroklorid) (mg)	riboflavin (mg)	tiamin (vitamin B1) (mg)	vitamin B12 (kobalamin) (µg)	vitamin C (askorbinsyra) (mg)	vitamin A RAE (µg)	karotenoider, totalt (µg)	vitamin D (µg)	vitamin E, alfatokoferol (mg)	vitamin K, totalt (µg)
367	Kantarell	112	1.5	0.7	2	0	3.2	0.1	N/A	0.1	1.4	<0.1	N/A	<0.1	0	<0.1	<0.1	0.1	2.2	0.3	0.2	<0.1	<0.1	0	<0.1	0.2	170	<1	0	0	0	33.7	3.6	0.8	1	450	10	2	5.1	50	18	0.8	29.5	7.4	4.4	3.9	00.04	00.12	00.04	0	0.2	110.3	1329.4	5.8	0	00.02
377	Kastanjer	815	36.6	2.2	3.4	0	6.8	N/A	N/A	29.6	7	0.2	N/A	0.3	0	0	6.5	0.3	6.5	1.8	0.8	0.7	0.3	0	N/A	N/A	N/A	N/A	N/A	N/A	0	117.6	140	3.6	5	650	33	0.6	1.5	310	0	2	30	62	1	0.5	00.33	00.22	00.26	0	30	1.5	18	0	0.5	N/A
31218	Kikärter, torkade	1436	46.4	5.4	21.3	0	10.7	N/A	N/A	43.8	2.6	0.2	N/A	0	0	0	2.4	3.3	9.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	0	35	160	5.5	N/A	1000	130	39	99.4	310	2	3	174	180	1.9	1.9	00.53	00.24	00.39	0	0	5	60	0	2.9	9
11089	Kikärt i osaltat vatten, kaffeärt	557	17.6	2	8.4	0	5	N/A	0	16.6	1	0.1	N/A	0	0	0	0.9	1.4	3.6	2.1	1.2	0.6	0.3	0	0.1	1	1000	150	0	0	0	82.1	49	2.9	N/A	290	48	5	12.7	168	5	1.5	85	172	1.9	0.5	00.14	00.06	00.12	0	1	1.5	18	0	0.1	21
359	Kinakål	74	2.2	0.3	1	0	0.9	<0.1	0	0	2.2	0.9	N/A	1.3	0	0	<0.1	0.5	0.7	0.1	<0.1	<0.1	<0.1	0	<0.1	<0.1	11	71	0	0	0.1	13	25.3	0.2	0	246.3	9.7	1.8	4.5	32.6	<0.1	0.2	12	52.1	0.6	0.4	00.14	00.04	00.03	0	17.1	1.3	55.4	0	0.2	80
32733	Kinderägg, kinder surprise	2331	50.1	35.5	9.3	0	0.8	0.2	0	0	50.1	0	0	0	11.8	0	38.3	0.2	0.6	31.5	1.1	9	21	0.5	0.1	0.7	652	121	0	0	48.5	39.3	375.3	1.1	48.8	446.3	45.6	124.6	317.5	279.1	4.8	1.4	134.1	10.9	2.5	0.3	0.1	00.53	00.08	0.3	0.8	221.8	137.6	<0.1	0.6	05.12
11050	Kiwi, skalad	218	7.1	0.8	0.8	0	2.7	2.5	0	0.3	6.8	3.4	0	3.1	0	0	0.3	N/A	N/A	0.7	0.5	<0.1	<0.1	0	0.4	<0.1	70	442	0	0	0	18.2	32.2	1	0	289.7	13.5	5	12.7	26.9	0.5	<0.1	18	42	0.6	0.3	00.12	00.05	<0.01	0	67	3.7	226.8	0	<0.1	34.3
28939	Kiwi, vägd med skal	201	6.5	0.8	0.7	0	2.5	2.3	0	0.3	6.2	3.1	0	2.9	0	0	0.3	N/A	N/A	0.6	0.5	<0.1	<0.1	0	0.4	<0.1	64	407	0	0	0	16.7	29.6	0.9	0	266.5	12.4	4.6	11.7	24.7	0.5	<0.1	16.6	38.6	0.6	0.3	00.11	00.05	<0.01	0	61.6	3.4	208.7	0	<0.1	31.56.00
170	Kli, havrekli	1575	52.2	7.3	16.2	0	17.5	N/A	N/A	50.8	1.4	<0.1	0	<0.1	0	<0.1	1.2	1.8	16.7	6.7	2.7	2.7	1.3	0	<0.1	2.6	2619	90	0	0	0	44.6	85	8	20	638	230	1	2.5	718	13	5	210	51	4.3	0.8	00.17	00.17	1	0	0	0	177	0	0.8	2.1
29237	Kli, rågkli	1168	26	4.3	15	0	39	N/A	0	23	3	0.2	0	1.4	0	0.5	0.9	2.2	11.4	3.5	2.2	0.7	0.6	0	0.3	1.9	1940	296	0	0	0	95.4	45	9.5	5	900	300	1	2.5	750	5	8	110	58	2	0.2	00.17	00.16	00.31	0	0	0.5	219.7	0	1	5.9
